560;400
332;546
293;276
558;354
375;564
259;308
542;309
423;569
235;350
514;269
471;559
223;398
475;238
516;537
225;449
428;219
553;501
242;498
376;214
580;455
273;541
323;224
593;403
315;575
274;249
591;348
367;596
233;287
572;294
424;602
204;337
539;246
481;591
189;394
493;209
535;564
192;454
437;186
579;523
211;512
375;180
611;469
247;564
313;191
626;408
297;604
255;220
624;343
357;629
207;265
603;280
424;636
173;323
565;225
490;624
156;389
511;181
552;593
158;458
447;154
604;545
180;526
376;146
641;484
221;585
304;159
659;413
278;631
238;191
657;339
347;661
183;242
634;267
422;670
143;307
591;204
498;657
123;382
531;154
569;622
125;461
458;122
628;569
149;538
378;113
671;500
194;606
297;126
693;420
258;659
222;162
691;337
335;692
159;218
666;255
420;703
113;291
618;184
505;690
90;375
552;127
585;652
91;463
470;91
652;593
117;549
381;79
700;517
167;625
291;93
725;428
237;685
207;131
725;335
322;724
136;193
698;245
416;737
84;273
646;164
511;723
57;366
573;101
600;683
57;464
484;60
674;619
85;559
